source_authors_abbreviated,source_year,source_authors,source_title,source_reference,source_url,cited_authors,cited_title,cited_reference
Leech & Barnes-Holmes (2020),2020,"Leech, A. & Barnes-Holmes, D.",Training and testing for a transformation of fear and avoidance functions via combinatorial entailment using the Implicit Relational Assessment Procedure (IRAP): Further exploratory analyses,"(2020) Behavioural Processes, https://doi.org/10.1016/j.beproc.2019.104027
Behavioural Processes, 182",https://www.sciencedirect.com/science/article/pii/S0376635719303109#bibl0005,"M.J. Dougher, D.A. Hamilton, B.C. Fink, J. Harrington",Transformation of the discriminative and eliciting functions of generalized relational stimuli,"J. Exp. Anal. Behav., 88 (2) (2007), pp. 179-197, 10.1901/jeab.2007.45-05"
Leech & Barnes-Holmes (2020),2020,"Leech, A. & Barnes-Holmes, D.",Training and testing for a transformation of fear and avoidance functions via combinatorial entailment using the Implicit Relational Assessment Procedure (IRAP): Further exploratory analyses,"(2020) Behavioural Processes, https://doi.org/10.1016/j.beproc.2019.104027
Behavioural Processes, 183",https://www.sciencedirect.com/science/article/pii/S0376635719303109#bibl0005,"S. Dymond, R.A. Rehfeldt",Understanding complex behavior: the transformation of stimulus functions,"Behav. Anal., 23 (2) (2000), pp. 239-254, 10.1007/BF03392013"
Leech & Barnes-Holmes (2020),2020,"Leech, A. & Barnes-Holmes, D.",Training and testing for a transformation of fear and avoidance functions via combinatorial entailment using the Implicit Relational Assessment Procedure (IRAP): Further exploratory analyses,"(2020) Behavioural Processes, https://doi.org/10.1016/j.beproc.2019.104027
Behavioural Processes, 184",https://www.sciencedirect.com/science/article/pii/S0376635719303109#bibl0005,"S. Dymond, B. Roche, J.P. Forsyth, R. Whelan, J. Rhoden",Derived avoidance learning: transformation of avoidance response functions in accordance with same and opposite relational frames,"Psychol. Rec., 58 (2) (2008), pp. 269-286"
Leech & Barnes-Holmes (2020),2020,"Leech, A. & Barnes-Holmes, D.",Training and testing for a transformation of fear and avoidance functions via combinatorial entailment using the Implicit Relational Assessment Procedure (IRAP): Further exploratory analyses,"(2020) Behavioural Processes, https://doi.org/10.1016/j.beproc.2019.104027
Behavioural Processes, 185",https://www.sciencedirect.com/science/article/pii/S0376635719303109#bibl0005,"M. Finn, D. Barnes-Holmes, C. McEnteggart",Exploring the single-trial-type-dominance-effect in the IRAP: developing a differential arbitrarily applicable relational responding effects (DAARRE) model,"Psychol. Rec., 68 (1) (2018), pp. 11-25"
Leech & Barnes-Holmes (2020),2020,"Leech, A. & Barnes-Holmes, D.",Training and testing for a transformation of fear and avoidance functions via combinatorial entailment using the Implicit Relational Assessment Procedure (IRAP): Further exploratory analyses,"(2020) Behavioural Processes, https://doi.org/10.1016/j.beproc.2019.104027
Behavioural Processes, 186",https://www.sciencedirect.com/science/article/pii/S0376635719303109#bibl0005,"S. Hayes, D. Barnes",Analyzing derived stimulus relations requires more than the concept of stimulus class,"J. Exp. Anal. Behav., 68 (2) (1997), p. 235"
Leech & Barnes-Holmes (2020),2020,"Leech, A. & Barnes-Holmes, D.",Training and testing for a transformation of fear and avoidance functions via combinatorial entailment using the Implicit Relational Assessment Procedure (IRAP): Further exploratory analyses,"(2020) Behavioural Processes, https://doi.org/10.1016/j.beproc.2019.104027
Behavioural Processes, 187",https://www.sciencedirect.com/science/article/pii/S0376635719303109#bibl0005,"S.C. Hayes, D. Barnes-Holmes, B. Roche (Eds.)",Relational Frame Theory: A Post-Skinnerian Account of Human Language and Cognition,"NY. Plenum Press, New York (2001)"
Leech & Barnes-Holmes (2020),2020,"Leech, A. & Barnes-Holmes, D.",Training and testing for a transformation of fear and avoidance functions via combinatorial entailment using the Implicit Relational Assessment Procedure (IRAP): Further exploratory analyses,"(2020) Behavioural Processes, https://doi.org/10.1016/j.beproc.2019.104027
Behavioural Processes, 188",https://www.sciencedirect.com/science/article/pii/S0376635719303109#bibl0005,"J.D. Henry, J.R. Crawford",The short-form version of the Depression Anxiety Stress Scales (DASS-21): construct validity and normative data in a large non-clinical sample,"Br. J. Clin. Psychol., 44 (2) (2005), pp. 227-239, 10.1348/014466505X29657"
Leech & Barnes-Holmes (2020),2020,"Leech, A. & Barnes-Holmes, D.",Training and testing for a transformation of fear and avoidance functions via combinatorial entailment using the Implicit Relational Assessment Procedure (IRAP): Further exploratory analyses,"(2020) Behavioural Processes, https://doi.org/10.1016/j.beproc.2019.104027
Behavioural Processes, 189",https://www.sciencedirect.com/science/article/pii/S0376635719303109#bibl0005,"S. Hughes, D. Barnes-Holmes",Relational frame theory: the basic account,"R. Zettle, S.C. Hayes, D. Barnes-Holmes, A. Biglan (Eds.), Wiley Handbook of Contextual Behavioral Science, Wiley-Blackwell, Cambridge, England (2016), pp. 176-232, 10.1002/9781118489857.ch9"
Leech & Barnes-Holmes (2020),2020,"Leech, A. & Barnes-Holmes, D.",Training and testing for a transformation of fear and avoidance functions via combinatorial entailment using the Implicit Relational Assessment Procedure (IRAP): Further exploratory analyses,"(2020) Behavioural Processes, https://doi.org/10.1016/j.beproc.2019.104027
Behavioural Processes, 190",https://www.sciencedirect.com/science/article/pii/S0376635719303109#bibl0005,"S. Hughes, D. Barnes-Holmes",Relational frame theory: implications for the study of human language and cognition,"R. Zettle, S.C. Hayes, D. Barnes-Holmes, A. Biglan (Eds.), Wiley Handbook of Contextual Behavioral Science, Wiley-Blackwell, Cambridge, England (2016), pp. 233-291, 10.1002/9781118489857.ch10"
Leech & Barnes-Holmes (2020),2020,"Leech, A. & Barnes-Holmes, D.",Training and testing for a transformation of fear and avoidance functions via combinatorial entailment using the Implicit Relational Assessment Procedure (IRAP): Further exploratory analyses,"(2020) Behavioural Processes, https://doi.org/10.1016/j.beproc.2019.104027
Behavioural Processes, 191",https://www.sciencedirect.com/science/article/pii/S0376635719303109#bibl0005,"A. Leech, D. Barnes-Holmes, L. Madden","The implicit relational assessment procedure (IRAP) as a measure of spider fear, avoidance, and approach","Psychol. Rec., 66 (3) (2016), pp. 337-349"
Leech & Barnes-Holmes (2020),2020,"Leech, A. & Barnes-Holmes, D.",Training and testing for a transformation of fear and avoidance functions via combinatorial entailment using the Implicit Relational Assessment Procedure (IRAP): Further exploratory analyses,"(2020) Behavioural Processes, https://doi.org/10.1016/j.beproc.2019.104027
Behavioural Processes, 192",https://www.sciencedirect.com/science/article/pii/S0376635719303109#bibl0005,"A. Leech, D. Barnes-Holmes, C. McEnteggart",Spider fear and avoidance: a preliminary study of the impact of two verbal rehearsal tasks on a behavior–behavior relation and its implications for an experimental analysis of defusion,"Psychol. Rec., 67 (3) (2017), pp. 387-398"
Leech & Barnes-Holmes (2020),2020,"Leech, A. & Barnes-Holmes, D.",Training and testing for a transformation of fear and avoidance functions via combinatorial entailment using the Implicit Relational Assessment Procedure (IRAP): Further exploratory analyses,"(2020) Behavioural Processes, https://doi.org/10.1016/j.beproc.2019.104027
Behavioural Processes, 193",https://www.sciencedirect.com/science/article/pii/S0376635719303109#bibl0005,"A. Leech, J. Bouyrden, N. Bruijsten, D. Barnes-Holmes, C. McEnteggart",Training and testing for a transformation of fear and avoidance functions using the Implicit Relational Assessment Procedure: the first study,"Behav. Processes, 157 (2018), pp. 24-35"
Leech & Barnes-Holmes (2020),2020,"Leech, A. & Barnes-Holmes, D.",Training and testing for a transformation of fear and avoidance functions via combinatorial entailment using the Implicit Relational Assessment Procedure (IRAP): Further exploratory analyses,"(2020) Behavioural Processes, https://doi.org/10.1016/j.beproc.2019.104027
Behavioural Processes, 194",https://www.sciencedirect.com/science/article/pii/S0376635719303109#bibl0005,"P.F. Lovibond, S.H. Lovibond",The structure of negative emotional states: comparison of the depression anxiety stress scales (DASS) with the Beck depression and anxiety inventories,"Behav. Res. Ther., 33 (3) (1995), pp. 335-343, 10.1016/0005-7967(94)00075-U"
Leech & Barnes-Holmes (2020),2020,"Leech, A. & Barnes-Holmes, D.",Training and testing for a transformation of fear and avoidance functions via combinatorial entailment using the Implicit Relational Assessment Procedure (IRAP): Further exploratory analyses,"(2020) Behavioural Processes, https://doi.org/10.1016/j.beproc.2019.104027
Behavioural Processes, 195",https://www.sciencedirect.com/science/article/pii/S0376635719303109#bibl0005,"C. Luciano, S. Valdivia-Salas, F.J. Ruiz, M. Rodríguez-Valverde, D. Barnes-Holmes, et al.",Extinction of aversive eliciting functions as an analog of exposure to conditioned fear: Does it alter avoidant responding?,"J. Contextual Behav. Sci., 2 (3–4) (2013), pp. 120-134, 10.1016/j.jcbs.2013.05.001"
Leech & Barnes-Holmes (2020),2020,"Leech, A. & Barnes-Holmes, D.",Training and testing for a transformation of fear and avoidance functions via combinatorial entailment using the Implicit Relational Assessment Procedure (IRAP): Further exploratory analyses,"(2020) Behavioural Processes, https://doi.org/10.1016/j.beproc.2019.104027
Behavioural Processes, 196",https://www.sciencedirect.com/science/article/pii/S0376635719303109#bibl0005,"C. Luciano, S. Valdivia-Salas, F.J. Ruiz, M. Rodríguez-Valverde, D. Barnes-Holmes, et al.",Effects of an acceptance/diffusion intervention on experimentally induced generalised avoidance: a laboratory demonstration,"Journal of the Experimental Analysis of Behaviour, 101 (1) (2014), pp. 94-111, 10.1002/jeab.68"
Leech & Barnes-Holmes (2020),2020,"Leech, A. & Barnes-Holmes, D.",Training and testing for a transformation of fear and avoidance functions via combinatorial entailment using the Implicit Relational Assessment Procedure (IRAP): Further exploratory analyses,"(2020) Behavioural Processes, https://doi.org/10.1016/j.beproc.2019.104027
Behavioural Processes, 197",https://www.sciencedirect.com/science/article/pii/S0376635719303109#bibl0005,"E. Nicholson, D. Barnes-Holmes",The implicit relational assessment procedure (IRAP) as a measure of spider fear,"Psychol. Rec., 62 (2) (2012), pp. 263-278, 10.1007/s40732-016-0176-1"
Leech & Barnes-Holmes (2020),2020,"Leech, A. & Barnes-Holmes, D.",Training and testing for a transformation of fear and avoidance functions via combinatorial entailment using the Implicit Relational Assessment Procedure (IRAP): Further exploratory analyses,"(2020) Behavioural Processes, https://doi.org/10.1016/j.beproc.2019.104027
Behavioural Processes, 198",https://www.sciencedirect.com/science/article/pii/S0376635719303109#bibl0005,"C. O’Toole, D. Barnes‐Holmes, S. Smyth",A derived transfer of functions and the Implicit Association Test,"J. Exp. Anal. Behav., 88 (2) (2007), pp. 263-283"
Leech & Barnes-Holmes (2020),2020,"Leech, A. & Barnes-Holmes, D.",Training and testing for a transformation of fear and avoidance functions via combinatorial entailment using the Implicit Relational Assessment Procedure (IRAP): Further exploratory analyses,"(2020) Behavioural Processes, https://doi.org/10.1016/j.beproc.2019.104027
Behavioural Processes, 199",https://www.sciencedirect.com/science/article/pii/S0376635719303109#bibl0005,"J.W. Peirce, M.R. MacAskill",Building Experiments in PsychoPy,"Sage, London (2018)"
Leech & Barnes-Holmes (2020),2020,"Leech, A. & Barnes-Holmes, D.",Training and testing for a transformation of fear and avoidance functions via combinatorial entailment using the Implicit Relational Assessment Procedure (IRAP): Further exploratory analyses,"(2020) Behavioural Processes, https://doi.org/10.1016/j.beproc.2019.104027
Behavioural Processes, 200",https://www.sciencedirect.com/science/article/pii/S0376635719303109#bibl0005,M. Sidman,Reading and auditory-visual equivalences,"J. Speech Hear. Res., 14 (1) (1971), pp. 5-13, 10.1044/jshr.1401.05"
Leech & Barnes-Holmes (2020),2020,"Leech, A. & Barnes-Holmes, D.",Training and testing for a transformation of fear and avoidance functions via combinatorial entailment using the Implicit Relational Assessment Procedure (IRAP): Further exploratory analyses,"(2020) Behavioural Processes, https://doi.org/10.1016/j.beproc.2019.104027
Behavioural Processes, 201",https://www.sciencedirect.com/science/article/pii/S0376635719303109#bibl0005,M. Sidman,Equivalence Relations and Behavior: a Research Story,"Authors Cooperative, Inc., Boston, MA (1994)"
Leech & Barnes-Holmes (2020),2020,"Leech, A. & Barnes-Holmes, D.",Training and testing for a transformation of fear and avoidance functions via combinatorial entailment using the Implicit Relational Assessment Procedure (IRAP): Further exploratory analyses,"(2020) Behavioural Processes, https://doi.org/10.1016/j.beproc.2019.104027
Behavioural Processes, 202",https://www.sciencedirect.com/science/article/pii/S0376635719303109#bibl0005,"S. Smyth, D. Barnes‐Holmes, J.P. Forsyth",A derived transfer of simple discrimination and self‐reported arousal functions in spider fearful and non‐spider‐fearful participants,"J. Exp. Anal. Behav., 85 (2) (2006), pp. 223-246"
Leech & Barnes-Holmes (2020),2020,"Leech, A. & Barnes-Holmes, D.",Training and testing for a transformation of fear and avoidance functions via combinatorial entailment using the Implicit Relational Assessment Procedure (IRAP): Further exploratory analyses,"(2020) Behavioural Processes, https://doi.org/10.1016/j.beproc.2019.104027
Behavioural Processes, 203",https://www.sciencedirect.com/science/article/pii/S0376635719303109#bibl0005,"D. Steele, S.C. Hayes",Stimulus equivalence and arbitrarily applicable relational responding,"J. Exp. Anal. Behav., 56 (3) (1991), pp. 519-555"
Leech & Barnes-Holmes (2020),2020,"Leech, A. & Barnes-Holmes, D.",Training and testing for a transformation of fear and avoidance functions via combinatorial entailment using the Implicit Relational Assessment Procedure (IRAP): Further exploratory analyses,"(2020) Behavioural Processes, https://doi.org/10.1016/j.beproc.2019.104027
Behavioural Processes, 204",https://www.sciencedirect.com/science/article/pii/S0376635719303109#bibl0005,"J. Szymanski, W. O’Donohue",Fear of spiders questionnaire,"J. Behav. Ther. Exp. Psychiatry, 26 (1) (1995), pp. 31-34, 10.1016/0005-7916(94)00072-T"
Leech & Barnes-Holmes (2020),2020,"Leech, A. & Barnes-Holmes, D.",Training and testing for a transformation of fear and avoidance functions via combinatorial entailment using the Implicit Relational Assessment Procedure (IRAP): Further exploratory analyses,"(2020) Behavioural Processes, https://doi.org/10.1016/j.beproc.2019.104027
Behavioural Processes, 205",https://www.sciencedirect.com/science/article/pii/S0376635719303109#bibl0005,"N.A. Vahey, E. Nicholson, D. Barnes-Holmes",A meta-analysis of criterion effects for the implicit relational assessment procedure (IRAP) in the clinical domain,"J. Behav. Ther. Exp. Psychiatry, 48 (2015), pp. 59-65"
Barnes-Holmes et al. (2020),2020,"Barnes-Holmes, D., Barnes-Holmes Y., & McEnteggart, Y.",(2020). Updating RFT (More Field than Frame) and its Implications for Process-based Therapy,Psychol Rec (2020). https://doi.org/10.1007/s40732-019-00372-3,https://link.springer.com/article/10.1007/s40732-019-00372-3,"Bargh, J. A., & Ferguson, M. J. (2000","Beyond behaviorism: On the automaticity of higher mental processesPsychological Bulletin, 126(6, 925.",
Barnes-Holmes et al. (2020),2020,"Barnes-Holmes, D., Barnes-Holmes Y., & McEnteggart, Y.",(2020). Updating RFT (More Field than Frame) and its Implications for Process-based Therapy,Psychol Rec (2020). https://doi.org/10.1007/s40732-019-00372-3,https://link.springer.com/article/10.1007/s40732-019-00372-3,"Barnes, D., Hegarty, N., & Smeets, P. M. (1997","Relating equivalence relations to equivalence relations: A relational framing model of complex human functioningAnalysis of Verbal Behavior, 14, 57–83.",
Barnes-Holmes et al. (2020),2020,"Barnes-Holmes, D., Barnes-Holmes Y., & McEnteggart, Y.",(2020). Updating RFT (More Field than Frame) and its Implications for Process-based Therapy,Psychol Rec (2020). https://doi.org/10.1007/s40732-019-00372-3,https://link.springer.com/article/10.1007/s40732-019-00372-3,"Barnes, D., & Holmes, Y. (1991","Radical behaviorism, stimulus equivalence, and human cognitionThe Psychological Record, 41(1, 19–31.",
Barnes-Holmes et al. (2020),2020,"Barnes-Holmes, D., Barnes-Holmes Y., & McEnteggart, Y.",(2020). Updating RFT (More Field than Frame) and its Implications for Process-based Therapy,Psychol Rec (2020). https://doi.org/10.1007/s40732-019-00372-3,https://link.springer.com/article/10.1007/s40732-019-00372-3,"Barnes, D., Smeets, P. M., & Leader, G. (1996","New procedures for establishing emergent matching performances in children and adults: Implications for stimulus equivalenceAdvances in Psychology, 117, 153–171.",
Barnes-Holmes et al. (2020),2020,"Barnes-Holmes, D., Barnes-Holmes Y., & McEnteggart, Y.",(2020). Updating RFT (More Field than Frame) and its Implications for Process-based Therapy,Psychol Rec (2020). https://doi.org/10.1007/s40732-019-00372-3,https://link.springer.com/article/10.1007/s40732-019-00372-3,"Barnes-Holmes, D., & Barnes-Holmes, Y. (2000","Explaining complex behavior: Two perspectives on the concept of generalized operant classesThe Psychological Record, 50(2, 251–265.",
Barnes-Holmes et al. (2020),2020,"Barnes-Holmes, D., Barnes-Holmes Y., & McEnteggart, Y.",(2020). Updating RFT (More Field than Frame) and its Implications for Process-based Therapy,Psychol Rec (2020). https://doi.org/10.1007/s40732-019-00372-3,https://link.springer.com/article/10.1007/s40732-019-00372-3,"Barnes-Holmes, D., Barnes-Holmes, Y., Luciano, C., & McEnteggart, C. (2017","From the IRAP and REC model to a multi-dimensional multi-level framework for analyzing the dynamics of arbitrarily applicable relational respondingJournal of Contextual Behavioral Science, 6, 434–445.",
Barnes-Holmes et al. (2020),2020,"Barnes-Holmes, D., Barnes-Holmes Y., & McEnteggart, Y.",(2020). Updating RFT (More Field than Frame) and its Implications for Process-based Therapy,Psychol Rec (2020). https://doi.org/10.1007/s40732-019-00372-3,https://link.springer.com/article/10.1007/s40732-019-00372-3,"Barnes-Holmes, D., Finn, M., McEnteggart, C., & Barnes-Holmes, Y. (2018","Derived stimulus relations and their role in a behavior-analytic account of human language and cognitionPerspectives on Behavior Science, 41, 155–173.",
Barnes-Holmes et al. (2020),2020,"Barnes-Holmes, D., Barnes-Holmes Y., & McEnteggart, Y.",(2020). Updating RFT (More Field than Frame) and its Implications for Process-based Therapy,Psychol Rec (2020). https://doi.org/10.1007/s40732-019-00372-3,https://link.springer.com/article/10.1007/s40732-019-00372-3,"Barnes-Holmes, D., Hayden, E., Barnes-Holmes, Y., & Stewart, I. (2008","The implicit relational assessment procedure (IRAP as a response-time and event-related-potentials methodology for testing natural verbal relations: A preliminary study. The Psychological Record, 58(4, 497–516.",
Barnes-Holmes et al. (2020),2020,"Barnes-Holmes, D., Barnes-Holmes Y., & McEnteggart, Y.",(2020). Updating RFT (More Field than Frame) and its Implications for Process-based Therapy,Psychol Rec (2020). https://doi.org/10.1007/s40732-019-00372-3,https://link.springer.com/article/10.1007/s40732-019-00372-3,"Barnes-Holmes, D., Murphy, A., Barnes-Holmes, Y., & Stewart, I. (2010","The implicit relational assessment procedure: Exploring the impact of private versus public contexts and the response latency criterion on pro-white and anti-black stereotyping among white Irish individualsThe Psychological Record, 60(1, 57–80.",
Barnes-Holmes et al. (2020),2020,"Barnes-Holmes, D., Barnes-Holmes Y., & McEnteggart, Y.",(2020). Updating RFT (More Field than Frame) and its Implications for Process-based Therapy,Psychol Rec (2020). https://doi.org/10.1007/s40732-019-00372-3,https://link.springer.com/article/10.1007/s40732-019-00372-3,"Barnes-Holmes, D., O’Hora, D., Roche, B., Hayes, S. C., Bissett, R. T., & Lyddy, F. (2001","Understanding and verbal regulationIn SCHayes, DBarnes-Holmes, & BRoche (Eds., Relational frame theory: A post-Skinnerian account of human language and cognition. New York (pp. 103–117. New York, NY: Plenum.",
Barnes-Holmes et al. (2020),2020,"Barnes-Holmes, D., Barnes-Holmes Y., & McEnteggart, Y.",(2020). Updating RFT (More Field than Frame) and its Implications for Process-based Therapy,Psychol Rec (2020). https://doi.org/10.1007/s40732-019-00372-3,https://link.springer.com/article/10.1007/s40732-019-00372-3,"Barnes-Holmes, Y. (2001",Analysing relational frames: Studying language and cognition in young children (Unpublished doctoral thesis. National University of Ireland Maynooth.,
Barnes-Holmes et al. (2020),2020,"Barnes-Holmes, D., Barnes-Holmes Y., & McEnteggart, Y.",(2020). Updating RFT (More Field than Frame) and its Implications for Process-based Therapy,Psychol Rec (2020). https://doi.org/10.1007/s40732-019-00372-3,https://link.springer.com/article/10.1007/s40732-019-00372-3,"Barnes-Holmes, Y., Barnes-Holmes, D., Smeets, P. M., Strand, P., & Friman, P. (2004","Establishing relational responding in accordance with more-than and less-than as generalized operant behavior in young childrenInternational Journal of Psychology & Psychological Therapy, 4(3, 531–558.",
Barnes-Holmes et al. (2020),2020,"Barnes-Holmes, D., Barnes-Holmes Y., & McEnteggart, Y.",(2020). Updating RFT (More Field than Frame) and its Implications for Process-based Therapy,Psychol Rec (2020). https://doi.org/10.1007/s40732-019-00372-3,https://link.springer.com/article/10.1007/s40732-019-00372-3,"Barnes-Holmes, Y., Boorman, J., Oliver, J. E., Thompson, M., McEnteggart, C., & Coulter, C. (2018","Using conceptual developments in RFT to direct case formulation and clinical intervention: Two case summariesJournal of Contextual Behavioral Science, 7, 89–96.",
Barnes-Holmes et al. (2020),2020,"Barnes-Holmes, D., Barnes-Holmes Y., & McEnteggart, Y.",(2020). Updating RFT (More Field than Frame) and its Implications for Process-based Therapy,Psychol Rec (2020). https://doi.org/10.1007/s40732-019-00372-3,https://link.springer.com/article/10.1007/s40732-019-00372-3,"Blount, R. L., Bunke, V. L., & Zaff, J. F. (2000","The integration of basic research, treatment research, and clinical practice in pediatric psychologyIn DDrotar (Ed., Handbook of research in pediatric and clinical child psychology (pp. . Issues in Clinical Child Psychology. Boston, MA: Springer.",
Barnes-Holmes et al. (2020),2020,"Barnes-Holmes, D., Barnes-Holmes Y., & McEnteggart, Y.",(2020). Updating RFT (More Field than Frame) and its Implications for Process-based Therapy,Psychol Rec (2020). https://doi.org/10.1007/s40732-019-00372-3,https://link.springer.com/article/10.1007/s40732-019-00372-3,"Bouton, M. E. (1993","Context, time, and memory retrieval in the interference paradigms of Pavlovian learningPsychological Bulletin, 114(1, 80.",
Barnes-Holmes et al. (2020),2020,"Barnes-Holmes, D., Barnes-Holmes Y., & McEnteggart, Y.",(2020). Updating RFT (More Field than Frame) and its Implications for Process-based Therapy,Psychol Rec (2020). https://doi.org/10.1007/s40732-019-00372-3,https://link.springer.com/article/10.1007/s40732-019-00372-3,"Chomsky, N. (1959","A review of BF Skinner's verbal behaviorLanguage, 35(1, 26–58.",
